indroea,event_id,inicio,fin,duracion,deficit_hm3
9006,175,2007-12-16,2008-01-04,20,0.01886112000000001
9006,176,2008-10-01,2008-10-30,30,0.02389824000000001
9006,177,2010-04-28,2010-05-03,6,0.029877120000000007
9006,178,2010-05-20,2010-06-15,27,0.10005120000000003
9006,179,2011-04-12,2011-04-23,12,0.032512320000000004
9006,180,2011-11-04,2012-02-05,94,0.22676112000000004
9006,181,2012-03-14,2012-04-17,35,0.18399744000000004
9006,182,2012-06-04,2012-06-17,14,0.007404480000000002
9006,183,2012-09-09,2012-09-22,14,0.012908160000000005
9006,184,2014-12-02,2014-12-20,19,0.04222368000000001
9006,185,2016-02-03,2016-02-09,7,0.032987520000000006
9006,186,2016-07-01,2016-07-24,24,0.07091711999999999
9006,187,2016-09-15,2016-10-07,23,0.04443552000000002
9006,188,2016-12-31,2017-02-10,42,0.05149872000000003
9006,189,2017-09-05,2017-12-15,102,0.04336416000000005
9006,190,2017-12-30,2018-01-16,18,0.0074088000000000044
9006,191,2018-10-10,2018-12-12,64,0.08470656000000001
9006,192,2019-02-16,2019-03-21,34,0.24289632000000003
9006,193,2019-04-25,2019-05-16,22,0.32122656000000005
9008,194,1981-05-25,1981-06-13,20,0.025416542168870578
9008,195,1981-08-04,1981-08-08,5,0.04418496000000001
9008,196,1982-05-03,1982-05-09,7,0.027855360000000013
9008,197,1982-11-05,1982-11-12,8,0.3024864
9008,198,1982-12-03,1983-01-03,32,0.0045273599999999725
9008,199,1983-03-21,1983-03-25,5,0.013970880000000007
9008,200,1983-04-27,1983-08-23,119,1.28986923843856
9008,201,1983-09-28,1983-10-22,25,0.040227840000000015
9008,202,1983-12-17,1984-02-10,56,0.6831734400000002
9008,203,1985-08-02,1985-08-22,21,0.009901439999999989
9008,204,1985-09-04,1985-09-13,10,0.020183039999999992
9008,205,1986-05-11,1986-05-25,15,0.030784320000000018
9008,206,1986-10-30,1986-11-07,9,0.055727999999999986
9008,207,1991-06-10,1991-07-07,28,0.050336641234711356
9008,208,1993-07-08,1993-07-21,14,0.006275515775982739
9008,209,1995-03-27,1995-04-20,25,0.050483520000000046
9008,210,1995-10-28,1995-12-31,65,0.12011328000000011
9008,211,1996-06-07,1996-06-17,11,0.08467828949681874
9008,212,2000-03-11,2000-03-19,9,0.00816480000000002
9008,213,2001-12-31,2002-08-17,230,3.384339469131282
9008,214,2006-08-11,2006-09-09,30,0.044219520000000005
9008,215,2007-09-14,2007-09-21,8,0.02725056000000002
9008,216,2009-04-21,2009-04-26,6,0.02757062769980493
9008,217,2014-07-23,2014-11-28,129,0.28265760000000006
9008,218,2015-05-15,2015-06-04,21,0.04928256000000006
9008,219,2015-07-09,2015-07-14,6,0.007257600000000016
9008,220,2015-08-18,2015-12-26,131,1.06251264
9008,221,2016-01-28,2016-02-05,9,0.016839360000000036
9008,222,2017-02-12,2017-05-13,91,0.7866161506927221
9008,223,2017-09-26,2017-12-09,75,0.06168960000000005
9008,224,2018-02-13,2018-03-06,22,0.12371616000000002
9010,225,1983-01-10,1983-01-23,14,0.10023696000000006
9010,226,1983-06-10,1983-06-22,13,0.017426880000000002
9010,227,1983-09-22,1983-11-05,45,0.33127488000000005
9010,228,1984-01-01,1984-01-15,15,0.08106912000000005
9010,229,1984-08-30,1984-09-29,31,0.08453376000000004
9010,230,1984-10-15,1984-11-02,19,0.15297984000000006
9010,231,1984-11-28,1984-12-20,23,0.06257088000000005
9010,232,1985-08-31,1985-10-26,57,0.2500243200000001
9010,233,1985-11-09,1985-11-25,17,0.19377792000000005
9010,234,1988-12-04,1988-12-08,5,0.05432832000000001
9010,235,1990-11-01,1990-12-01,31,0.6544972800000001
9010,236,1993-01-27,1993-02-07,12,0.07801919999999998
9010,237,1993-03-11,1993-03-20,10,0.06333984000000004
9010,238,1993-05-01,1993-05-11,11,0.06166367999999999
9010,239,1993-06-02,1993-08-05,65,0.02433888
9010,240,1993-08-20,1993-09-03,15,0.01798848
9010,241,1994-03-26,1994-05-04,40,0.32723568000000014
9010,242,1994-05-19,1994-06-21,34,0.0918648
9010,243,1994-08-09,1994-08-30,22,0.0336096
9010,244,1994-12-10,1995-05-08,150,3.15729792
9010,245,1995-11-04,1995-11-22,19,0.06626880000000002
9010,246,1995-12-22,1996-03-06,76,2.992749120000001
9010,247,1996-03-20,1996-06-08,81,0.37031040000000004
9010,248,1996-10-19,1996-12-07,50,0.33212160000000013
9010,249,1996-12-25,1996-12-31,7,0.04891536
9010,250,1999-05-12,1999-05-17,6,0.014484960000000005
9010,251,2000-06-26,2000-07-16,21,0.043696799999999994
9010,252,2000-09-03,2000-09-18,16,0.026136000000000013
9010,253,2001-02-11,2001-02-25,15,0.061378560000000075
9010,254,2001-05-30,2001-08-12,75,0.1976184
9010,255,2001-11-27,2001-12-20,24,0.09246528000000002
9010,256,2002-02-26,2002-04-02,36,0.5443329600000001
9010,257,2018-02-14,2018-03-10,25,0.12909887999999994
9011,258,1981-11-17,1981-12-01,15,2.118528
9011,259,1982-04-24,1982-05-27,34,21.335058720000006
9011,260,1985-12-03,1985-12-26,24,10.776672000000001
9011,261,1986-11-09,1986-11-24,16,5.512320000000004
9011,262,1987-06-04,1987-06-12,9,2.751839999999999
9011,263,1989-01-03,1989-01-08,6,6.513264000000001
9011,264,1989-01-21,1989-02-26,37,66.71419200000001
9011,265,1989-03-23,1989-04-01,10,1.9392480000000014
9011,266,1989-05-18,1989-05-24,7,4.020191999999999
9011,267,1989-08-30,1989-09-04,6,2.6153280000000003
9011,268,1989-10-12,1989-11-05,25,7.450272000000003
9011,269,1989-12-08,1989-12-20,13,1.6873920000000007
9011,270,1990-03-01,1990-04-07,38,84.602016
9011,271,1990-05-14,1990-05-18,5,3.120768000000001
9011,272,1990-06-29,1990-08-12,45,7.600694400000001
9011,273,1990-08-24,1990-10-22,60,4.720896000000002
9011,274,1992-01-24,1992-03-26,63,69.2960832
9011,275,1995-04-10,1995-04-23,14,14.112662400000001
9011,276,1995-05-29,1995-06-23,26,8.906889599999998
9011,277,1995-09-02,1995-12-04,94,48.63456000000002
9011,278,1996-06-08,1996-06-13,6,2.5051680000000003
9011,279,1997-03-26,1997-04-19,25,40.674960000000006
9011,280,2000-03-09,2000-03-24,16,1.3880160000000012
9011,281,2001-11-03,2001-11-12,10,2.41488
9011,282,2001-12-11,2002-02-07,59,23.247647999999998
